,User,Tweet
47,buntewelt1966,"@Lena47111 @Celik_Chn Wir haben auch eine Arbeitskollegin, die trotz #Booster nun schon das 2x #Corona hat und das nicht mal mit so leichten Verlauf. Dafür hatten die #Ungeimpften bei uns in über 2 Jahren immer noch kein #Covid19"
48,Saitama_Fan,"大宮で無料ＰＣＲ検査、新聞販売所が開設　新聞折り込みチラシ活用、住民らに呼び掛け　感染回避の一つに
https://t.co/ih8Va0cMYG 

 #埼玉県 #新型コロナウイルス #新型肺炎 #COVID19 #オミクロン株 #さいたま市 #大宮区 #無料ＰＣＲ検査所 #新聞販売所 #ＰＣＲ検査"
49,AllertApc,"RT @LuceverdeRadio: 🚗😷 #Covid #Patenti #Multe - Tutte le novità 

📝 Cosa cambia con l'emergenza #Covid19 per gli #Spostamenti da e per l'es…"
50,kayebabe,RT @ellymelly: Casual reminder that the world didn't sanction #China over #Covid19.
51,Kettenschutz,"@Karl_Lauterbach Hallo Herr Lauterbach. Einer von uns Beiden hat rumgepöst, dass die xte Welle mitte Februar gebrochen wird und irgendwie damit das Gefühl ausgelöst, dass Covid19 dann besiegt ist. Das merkt man leider an vielerlei Stellen. Einen Tipp noch: Ich wars nich :)"
52,StreamersD,"RT @natixr_: Das ist der Stream Plan für diese Woche 😘
würde mich freuen wenn ihr dabei seit. 💕 
Btw werde ich vormittags oder nachmittags…"
53,Nightmar932,"RT @Mediavenir: 🦠 FLASH - ""Il faut appeler un chat un chat : une nouvelle vague [de #COVID19] débute en Europe de l’Ouest"", affirme l’épidé…"
54,TassleXyz_agg,RT @VIPdossier: https://t.co/sGGpbru6dN
55,cristo_monte,"RT @AbraarKaran: 1/ Over time, the effects of #covid19 on heart, brain, lungs, vascular system, sensory system, kidneys &amp; more will become…"
56,AfiqMuin,"RT @rafidah72: Lari 10km “hilangkan” COVID19?

MENGARUT!

1. Bila positif RTKAg, ASINGKAN diri. KUARANTIN. Dah kenapa pergi berlari 10km di…"
57,zimmerism,"RT @AbraarKaran: 1/ Over time, the effects of #covid19 on heart, brain, lungs, vascular system, sensory system, kidneys &amp; more will become…"
58,jjaranaz94,"RT @jjaranaz94: ""Reflexiones de mis #alumnos (ahora que ya no soy su #profesor)"":

https://t.co/lC0xnK7IaU

#COVID19 #Covid_19 #COVIDー19 #V…"
59,astridmieka,"RT @rafidah72: Lari 10km “hilangkan” COVID19?

MENGARUT!

1. Bila positif RTKAg, ASINGKAN diri. KUARANTIN. Dah kenapa pergi berlari 10km di…"
60,ESL_fairy,RT @DrEricDing: 8) I don’t know who needs to hear this— but masks in schools kinda sorta maybe REALLY help protect kids and teachers from #…
61,momijinides,"RT @NewsDigestWeb: 【兵庫県で新たに2489人感染確認 4人死亡】

兵庫県+2489（合計300563人）
※内訳は、県所管域938人、神戸市737人、尼崎市328人、西宮市190人、姫路市178人、明石市118人

詳細は下記URLより：
https://…"
62,davieledgerwood,"RT @AbraarKaran: 1/ Over time, the effects of #covid19 on heart, brain, lungs, vascular system, sensory system, kidneys &amp; more will become…"
63,lagcamion,"RT @drkerrynphelps: This may not be what you want to hear about COVID19 but it is what you need to hear.
COVID is not a harmless disease.
W…"
64,VIPdossier,https://t.co/sGGpbru6dN
65,3Genevieve,"3400 cas sur une population de 1,4 milliard d'habitants 
#COVID19 La #Chine enregistre près de 3 400 cas en un jour, des villes reconfinent #Coronavirus #Virus #Santé @OuestFrance
 
https://t.co/n2iFQDIBsG"
66,kals55,"RT @DrEricDing: I have a bad feeling again—China is reinstating measures &amp; has fired the mayors of 2 key cities. Thus far, China has shut d…"
67,ForgeRat,RT @globaltimesnews: Pharmacy chains prepare stocks as #COVID19 virus antigen detection products cleared for sale over the weekend. Annual…
68,sisitralalee,"RT @Grosty10: @Karl_Lauterbach @Karl_Lauterbach die Maskenpflicht  in Schulen und Geschäften muss bleiben. 
#twlz #COVID19"
69,ReemoOza97,"RT @hsharifain: VIDEO: First Friday prayer in the Two Holy Mosques  without #COVID19 precautionary measures.
https://t.co/JaJultvZ5o"
70,TihTri,"Industrija u Srbiji na cenama koje su na tržištu danas ne može da funkcioniše, stranih investitora nema na skupoj ceni gasa, domaćinstva nemogu da plate račun za grejanje jer je veći u proseku od prosečne plate, penzije x 3 etc #COVID19 ⤵️ https://t.co/Zr8krLf3xT"
71,vkyjha,"RT @unapologeticAnk: China places 17 million residents of Shenzhen under #COVID19 lockdown.

Karma spares none."
72,MuthalvanNews,"சீமெந்தின் விலை 475 ரூபாய் அதிகரிப்பு - https://t.co/POehOk0Gxv
#lka #SriLanka #COVID19LK #COVID19SL #COVID19 #coronavirus #CoronavirusOutbreak https://t.co/Hm1b5kcaz9"
73,MamtaTewari7,"RT @AnshuChakrabor6: #Unite2FightCorona
#LargestVaccineDrive
➡️ India’s Cumulative #COVID19 Vaccination Coverage exceeds 179.91 Cr (1,79,91…"
74,cinderspooks,RT @PeterHotez: With modest support from the global policymakers we could accelerate the production of our @TexasChildrens recombinant prot…
75,Radish3023,"RT @DrEricDing: I have a bad feeling again—China is reinstating measures &amp; has fired the mayors of 2 key cities. Thus far, China has shut d…"
76,Chris_F_Carson,"@RayEvan41555867 @RayEvan97077187 @huntresstruffle ""Is it safe to administer to pregnant/ brestfeeding women?""

YES

Pregnant women &amp; their babies are especially vulnerable to #COVID19 

https://t.co/6lodh2Du75 

https://t.co/HvwiavU2p3

#COVID19 #VaccinesSaveLives"
77,AssenatRaymond,"RT @FCOUILBAULT1: #COVID19 Jean Castex annonce l'ouverture d’une quatrième dose de vaccin pour les plus de 80 ans.
Il prépare le terrain po…"
78,Marion94862795,RT @LeadUKByExample: Useful Links for those suffering the #HMRCHumanCost of #LoanCharge #ir35 #covid19 #MentalHealthMatters (@Samaritans) h…
79,Johnsu1982,"RT @FreedomPodcast1: The Scottish Government has confirmed just 536 #COVID19 deaths in Scottish Hospitals, where #COVID19 was the only caus…"
80,cristo_monte,"RT @AbraarKaran: 3/ Risk of heart disease, heart attacks, strokes sig higher even after mild cases of #covid19 

https://t.co/y19EAQrtS4 ht…"
81,dokhollidays,"@B19Jens @katiaabcd1 Das ist Whataboutismus.

Ich rede hier von Long Covid welches durch Covid19 ausgelöst wird und das man zT verhindern kann wenn man geimpft ist.

Was mit anderen Erkrankungen und Syndromen dieser Welt ist kann man an anderer Stelle eruieren.

Ich verstehe Ihre Argumente null."
82,EricSor35538099,"RT @AlexRuebben: Wrong policies, Bad Vaccines - #lockdowns made it only worse #COVID19  - no early treatment"
83,bidishapsgs,"RT @unapologeticAnk: China places 17 million residents of Shenzhen under #COVID19 lockdown.

Karma spares none."
84,PushTwitch,"RT @natixr_: Das ist der Stream Plan für diese Woche 😘
würde mich freuen wenn ihr dabei seit. 💕 
Btw werde ich vormittags oder nachmittags…"
85,whoareyou_done,"RT @DrEricDing: I have a bad feeling again—China is reinstating measures &amp; has fired the mayors of 2 key cities. Thus far, China has shut d…"
86,snachuk,"RT @DrEricDing: I have a bad feeling again—China is reinstating measures &amp; has fired the mayors of 2 key cities. Thus far, China has shut d…"
87,saulet_emma,"RT @FCOUILBAULT1: #COVID19 Jean Castex annonce l'ouverture d’une quatrième dose de vaccin pour les plus de 80 ans.
Il prépare le terrain po…"
88,cristo_monte,"RT @AbraarKaran: 4/ effects on vascular system, including erectile dysfunction (would suspect this alone would promote more vaccination &amp; m…"
89,AcoVicente,"RT @linagalvezmunoz: Avanzo bien con mi #COVID19 pero desde luego no gracias a @AndaluciaJunta Salud Responde que NO RESPONDE el teléfono,…"
90,cinderspooks,"RT @CPHO_Canada: #GoLocalCanada! Stay up to date with #COVID19 vaccine, guidance, testing and self-assessment information specific to local…"
91,StreamerSupRT,"RT @natixr_: Das ist der Stream Plan für diese Woche 😘
würde mich freuen wenn ihr dabei seit. 💕 
Btw werde ich vormittags oder nachmittags…"
92,jan_K9massage,"RT @AbraarKaran: 1/ Over time, the effects of #covid19 on heart, brain, lungs, vascular system, sensory system, kidneys &amp; more will become…"
93,natixr_,"Das ist der Stream Plan für diese Woche 😘
würde mich freuen wenn ihr dabei seit. 💕 
Btw werde ich vormittags oder nachmittags online gehen, da es mich jetzt auch erwischt hat. #COVID19 
#TwitchDE #twitchstreaming #twitchgamer https://t.co/oSQgddJuBC"
94,Jenniferbbrg,RT @dw_espanol: El aumento de contagios de #COVID19 llevó a las autoridades a cerrar escuelas en #Shanghái y confinar a los habitantes de c…
95,BandoNobuhiro,"そう言えば、以前話題になってた満員電車は絶対にクラスターを起こさないという都市伝説は今も継続中なのだろうか。

#COVID19 　#新型コロナウイルス 　#新型コロナウイルス感染症情報"
96,patrick16479505,"RT @Children044: Pour célébrer la transhumance de printemps vers votre centre de vaccination le plus proche, la #4emedose contre le #COVID1…"
97,ManLanTuit,"Su #Pnrr e #scostamentodiBilancio, #Draghi e #Giorgetti avviano la 'Fase 2': il #governo tira storto. 
#Cingolani scopre e c'informa che c'è chi specula su #petrolio e #benzina. Grazie.
#Covid19 scomparso. Ma solo dalla TV, purtroppo. #13marzo https://t.co/xo9QyI7Xk8"
98,guts_ya,"RT @TotalWorld1: モデルナ、オミクロン対応ワクチン「今秋にも供給を始められるよう厚労省と協議」／ネット「じゃあ、いったい今接種してるのは何に対応してるの？」
https://t.co/jlXdYFczi6"
99,JBHelpedMeTalk9,"RT @BernieSpofforth: TRUDEAU again - Unmasked for the Queen and fully masked for Keir Starmer.

It’s all theatre for the audience. Stop bei…"
